                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.7742,                 2.2603,                 1.1339,                      0,                      0,                      0,                      0,                 6.6638,                 12.659,                 4.2773,              0.0010325,              0.0010325,              0.0010325
                     39,                 1.5852,                 2.2135,                 1.1155,                      0,                      0,                      0,                      0,                 6.6458,                 11.931,                 4.1963,              0.0010589,              0.0010589,              0.0010589
                     40,                 1.7497,                 2.2059,                 1.0923,                      0,                      0,                      0,                      0,                   6.64,                 11.708,                 4.1678,              0.0010853,              0.0010853,              0.0010853
                     41,                 1.5635,                 2.1202,                 1.0498,                      0,                      0,                      0,                      0,                 6.6405,                 11.887,                 4.1733,              0.0011117,              0.0011117,              0.0011117
                     42,                 1.5197,                 2.1548,                  1.069,                      0,                      0,                      0,                      0,                 6.6413,                 11.987,                 4.1729,              0.0011379,              0.0011379,              0.0011379
                     43,                 1.4459,                 2.1014,                 1.0573,                      0,                      0,                      0,                      0,                 6.6389,                  12.02,                 4.1667,              0.0011641,              0.0011641,              0.0011641
                     44,                 1.4939,                 2.1205,                 1.0498,                      0,                      0,                      0,                      0,                 6.6524,                  12.53,                 4.2222,              0.0011903,              0.0011903,              0.0011903
                     45,                 1.4328,                 2.1124,                 1.0572,                      0,                      0,                      0,                      0,                 6.6463,                 12.526,                 4.1881,              0.0012164,              0.0012164,              0.0012164
                     46,                 1.3896,                 2.1086,                 1.0357,                      0,                      0,                      0,                      0,                 6.6339,                 12.381,                 4.1363,              0.0012425,              0.0012425,              0.0012425
                     47,                 1.3389,                 2.0572,                  1.024,                      0,                      0,                      0,                      0,                 6.6433,                 12.628,                 4.1565,              0.0012684,              0.0012684,              0.0012684
                     48,                 1.4096,                 2.1151,                 1.0199,                      0,                      0,                      0,                      0,                 6.6166,                 12.432,                 4.0547,              0.0012944,              0.0012944,              0.0012944
                     49,                 1.2814,                 2.0512,                 1.0096,                      0,                      0,                      0,                      0,                 6.5887,                 12.572,                 3.9645,              0.0013203,              0.0013203,              0.0013203
                     50,                 1.2498,                 1.9999,                 1.0104,                  5e-05,                0.00171,                  3e-05,                  1e-05,                 6.3751,                 11.901,                 3.6646,              0.0013461,              0.0013461,              0.0013461
                     51,                 1.3587,                 2.0187,                 1.0054,                0.00013,                0.00428,                  7e-05,                  3e-05,                 6.2473,                 11.918,                 3.6372,              0.0013583,              0.0013583,              0.0013583
                     52,                 1.2838,                 2.0046,                0.98212,                 0.0006,                0.01951,                0.00088,                0.00041,                 5.4857,                 9.7546,                 3.0658,              0.0013568,              0.0013568,              0.0013568
                     53,                 1.3866,                 1.9953,                 0.9862,                0.00363,                0.12139,                0.00648,                0.00266,                 3.5436,                  6.109,                 2.2689,              0.0013554,              0.0013554,              0.0013554
                     54,                 1.3478,                 2.0176,                0.97164,                0.00657,                0.23409,                0.02031,                0.00973,                 2.3304,                 4.3809,                 1.8915,               0.001354,               0.001354,               0.001354
                     55,                 1.3703,                 1.9759,                 0.9647,                0.00752,                0.27189,                0.02334,                0.00929,                 2.4799,                 4.1768,                 1.8572,              0.0013526,              0.0013526,              0.0013526
                     56,                 1.2981,                 1.9721,                0.97039,                0.00857,                0.31373,                0.02702,                0.01023,                 2.3718,                 4.0484,                 1.8068,              0.0013512,              0.0013512,              0.0013512
                     57,                 1.2614,                 1.9978,                0.97273,                0.00941,                0.35521,                0.03353,                 0.0139,                 2.2535,                 3.7197,                  1.669,              0.0013498,              0.0013498,              0.0013498
                     58,                 1.2547,                 1.9863,                0.96693,                0.01131,                0.44737,                0.04782,                0.01664,                 2.3298,                 3.3725,                 1.6099,              0.0013484,              0.0013484,              0.0013484
                     59,                 1.2224,                 1.9638,                0.96554,                0.15323,                0.13802,                0.07168,                0.03889,                 1.7598,                 2.8323,                 1.3148,              0.0013469,              0.0013469,              0.0013469
                     60,                 1.3859,                 1.9942,                0.95469,                 0.1534,                 0.2232,                 0.0884,                0.04014,                  1.826,                 2.6551,                 1.3533,              0.0013455,              0.0013455,              0.0013455
                     61,                 1.2609,                 2.0001,                0.96344,                0.16021,                0.23753,                0.09835,                0.04158,                 1.9496,                 2.7017,                 1.3699,              0.0013441,              0.0013441,              0.0013441
                     62,                 1.2036,                 2.0044,                0.94645,                0.15853,                0.22765,                0.11121,                0.05127,                 1.7766,                 2.6289,                 1.3171,              0.0013427,              0.0013427,              0.0013427
                     63,                 1.2344,                 1.9334,                0.93217,                 0.1449,                0.31155,                0.11555,                0.04373,                 1.9996,                 2.6017,                 1.3346,              0.0013413,              0.0013413,              0.0013413
                     64,                  1.226,                 1.9264,                0.92899,                0.15145,                0.38857,                0.14268,                0.07043,                 1.6847,                 2.3733,                 1.2019,              0.0013399,              0.0013399,              0.0013399
                     65,                  1.304,                 1.9248,                0.94862,                0.14543,                0.46547,                0.14698,                0.05718,                 1.7973,                 2.3419,                 1.2069,              0.0013385,              0.0013385,              0.0013385
                     66,                 1.2176,                 1.9179,                0.94125,                 0.1478,                0.56582,                 0.1765,                0.07162,                  1.701,                 2.2027,                 1.1401,               0.001337,               0.001337,               0.001337
                     67,                 1.1634,                 1.9085,                0.94351,                0.15066,                0.67851,                0.19736,                0.10116,                 1.5272,                 2.0966,                 1.0964,              0.0013356,              0.0013356,              0.0013356
                     68,                 1.2188,                 1.9347,                0.93384,                0.16499,                0.55529,                0.19448,                0.07903,                 1.7404,                 2.1233,                 1.1173,              0.0013342,              0.0013342,              0.0013342
                     69,                 1.1855,                 1.9013,                0.93956,                0.16547,                0.57614,                0.20553,                0.09539,                 1.5597,                 2.0157,                 1.0535,              0.0013328,              0.0013328,              0.0013328
                     70,                 1.1379,                  1.891,                0.92011,                0.17182,                0.61441,                0.20446,                0.11305,                 1.4435,                 1.9781,                 1.0236,              0.0013314,              0.0013314,              0.0013314
                     71,                 1.2214,                 1.9019,                0.92572,                0.18623,                0.52853,                0.23743,                0.11086,                  1.596,                 1.9703,                 1.0422,                0.00133,                0.00133,                0.00133
                     72,                 1.1464,                 1.8835,                0.91477,                0.17728,                  0.608,                  0.245,                0.12186,                 1.4141,                 1.9275,                0.99184,              0.0013286,              0.0013286,              0.0013286
                     73,                 1.1037,                 1.8554,                0.92676,                0.18409,                0.60483,                0.24385,                0.15808,                 1.1723,                 1.8513,                0.95654,              0.0013271,              0.0013271,              0.0013271
                     74,                 1.1703,                 1.9216,                0.92581,                0.17987,                  0.706,                0.21161,                0.11196,                  1.481,                 1.9352,                 1.0097,              0.0013257,              0.0013257,              0.0013257
                     75,                 1.1212,                 1.8915,                0.91605,                0.17201,                0.71494,                0.25838,                0.15248,                 1.2527,                 1.8678,                0.95438,              0.0013243,              0.0013243,              0.0013243
                     76,                 1.0849,                 1.8606,                0.90647,                0.16739,                0.84465,                0.25279,                0.15521,                 1.2334,                 1.8799,                0.94342,              0.0013229,              0.0013229,              0.0013229
                     77,                 1.1037,                 1.8996,                0.90891,                0.18849,                0.69966,                0.27398,                0.16571,                  1.155,                 1.8333,                0.93002,              0.0013215,              0.0013215,              0.0013215
                     78,                 1.0517,                 1.8503,                0.90989,                0.18987,                 0.7301,                0.25893,                0.16789,                 1.1676,                 1.8313,                0.93147,              0.0013201,              0.0013201,              0.0013201
                     79,                 1.0936,                 1.8255,                0.91245,                0.18062,                 0.7782,                0.22257,                0.13632,                 1.3229,                 1.9516,                0.95704,              0.0013187,              0.0013187,              0.0013187
                     80,                 1.0887,                 1.8311,                0.89931,                0.19584,                0.61854,                0.26124,                0.15227,                 1.4008,                 1.9264,                0.97035,              0.0013172,              0.0013172,              0.0013172
                     81,                 1.1945,                 1.8838,                0.93132,                0.19876,                0.66052,                0.27423,                0.16525,                 1.1942,                 1.8471,                0.93654,              0.0013158,              0.0013158,              0.0013158
                     82,                 1.1301,                 1.8548,                 0.9098,                0.19544,                0.71254,                0.23646,                  0.143,                 1.2286,                 1.8514,                 0.9288,              0.0013144,              0.0013144,              0.0013144
                     83,                  1.123,                 1.8484,                0.92546,                0.22518,                0.62353,                0.28086,                0.18832,                 1.0727,                 1.7725,                0.90525,               0.001313,               0.001313,               0.001313
                     84,                 1.1211,                 1.8017,                0.91412,                0.24318,                0.60641,                0.29177,                0.18409,                   1.16,                 1.8028,                 0.9132,              0.0013116,              0.0013116,              0.0013116
                     85,                 1.1462,                 1.8274,                0.92054,                0.23153,                0.68329,                0.29261,                0.19848,                 1.0617,                 1.7588,                0.91105,              0.0013102,              0.0013102,              0.0013102
                     86,                 1.0519,                 1.8032,                0.90036,                0.22668,                0.66775,                0.30646,                0.19611,                 1.1627,                 1.7812,                0.92194,              0.0013087,              0.0013087,              0.0013087
                     87,                 1.0689,                 1.8151,                0.90554,                0.22548,                0.62776,                0.27823,                0.14179,                 1.4717,                 1.8193,                0.95807,              0.0013073,              0.0013073,              0.0013073
                     88,                 1.0946,                 1.7918,                0.89409,                0.20759,                0.62327,                0.26097,                0.16666,                 1.1725,                 1.8208,                0.92831,              0.0013059,              0.0013059,              0.0013059
                     89,                 1.0972,                 1.7918,                0.90277,                 0.2402,                0.64991,                0.28226,                0.18423,                 1.1656,                 1.7741,                0.91908,              0.0013045,              0.0013045,              0.0013045
                     90,                 1.0818,                 1.7806,                0.88472,                0.25544,                0.69222,                 0.3087,                0.20638,                 1.1321,                 1.7537,                0.90922,              0.0013031,              0.0013031,              0.0013031
                     91,                 1.0901,                 1.7727,                0.89772,                0.24047,                0.75462,                0.31383,                 0.2081,                 1.0611,                   1.74,                0.89902,              0.0013017,              0.0013017,              0.0013017
                     92,                 1.0514,                 1.7646,                0.89951,                0.22228,                0.76045,                0.24458,                 0.1671,                 1.0209,                 1.7321,                0.89001,              0.0013003,              0.0013003,              0.0013003
                     93,                 1.1742,                 1.8545,                0.91026,                0.24195,                0.60627,                0.30275,                0.18645,                 1.2154,                 1.7755,                0.92028,              0.0012988,              0.0012988,              0.0012988
                     94,                 1.1459,                 1.8069,                0.90641,                0.23528,                0.52207,                0.27886,                0.18525,                 1.1028,                 1.8055,                0.91164,              0.0012974,              0.0012974,              0.0012974
                     95,                 1.1102,                 1.8215,                0.90049,                0.24812,                0.57193,                0.30378,                0.17927,                 1.3006,                 1.8214,                 0.9324,               0.001296,               0.001296,               0.001296
                     96,                  1.109,                 1.7836,                0.90633,                0.24875,                0.65863,                0.32125,                0.21304,                 1.0475,                 1.7059,                0.88509,              0.0012946,              0.0012946,              0.0012946
                     97,                 1.2684,                 1.8081,                0.92044,                  0.247,                0.67806,                0.29567,                0.19864,                 1.0007,                 1.6907,                0.88485,              0.0012932,              0.0012932,              0.0012932
