                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.5379,                  21.94,                 4.2627,                      0,                      0,                      0,                      0,                 6.8433,                 46.279,                 4.1604,                 0.0002,                 0.0002,                 0.0002
                      2,                 6.6579,                 30.267,                 4.2443,                      0,                      0,                      0,                      0,                 6.8436,                 46.299,                 4.1628,             0.00049995,             0.00049995,             0.00049995
                      3,                 6.6224,                 24.676,                 4.2716,                      0,                      0,                      0,                      0,                 6.8441,                 46.417,                 4.1651,             0.00079984,             0.00079984,             0.00079984
                      4,                 6.5397,                 21.152,                 4.2513,                      0,                      0,                      0,                      0,                 6.8443,                 46.565,                 4.1663,              0.0010997,              0.0010997,              0.0010997
