                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.5702,                 21.629,                 4.3613,                      0,                      0,                      0,                      0,                 6.8433,                 46.278,                 4.1588,                 0.0002,                 0.0002,                 0.0002
                      2,                 6.6654,                 28.584,                 4.2806,                      0,                      0,                      0,                      0,                 6.8436,                 46.268,                 4.1592,             0.00049995,             0.00049995,             0.00049995
                      3,                 6.6296,                 23.298,                 4.3248,                      0,                      0,                      0,                      0,                 6.8434,                 46.265,                 4.1595,             0.00079984,             0.00079984,             0.00079984
                      4,                 6.4722,                 25.522,                 4.3368,                      0,                      0,                      0,                      0,                 6.8436,                 46.332,                 4.1593,              0.0010997,              0.0010997,              0.0010997
                      5,                 6.5715,                  21.58,                 4.3357,                      0,                      0,                      0,                      0,                 6.8422,                 46.047,                 4.1588,              0.0013994,              0.0013994,              0.0013994
                      6,                 6.5932,                 23.236,                 4.2313,                      0,                      0,                      0,                      0,                 6.8419,                 46.191,                 4.1596,              0.0016992,              0.0016992,              0.0016992
                      7,                 6.5776,                 23.351,                 4.1767,                      0,                      0,                      0,                      0,                 6.8413,                 46.565,                 4.1598,              0.0019988,              0.0019988,              0.0019988
                      8,                 6.4121,                 17.625,                 4.0701,                      0,                      0,                      0,                      0,                 6.8407,                 46.914,                 4.1611,              0.0022984,              0.0022984,              0.0022984
                      9,                 5.9815,                  14.43,                 3.9816,                      0,                      0,                      0,                      0,                 6.8407,                 47.475,                 4.1639,              0.0025979,              0.0025979,              0.0025979
                     10,                 4.7886,                 10.187,                 3.6016,                      0,                      0,                      0,                      0,                 6.8402,                 48.015,                 4.1693,              0.0028974,              0.0028974,              0.0028974
                     11,                 3.9634,                 6.3512,                 3.1432,                      0,                      0,                      0,                      0,                 6.8404,                 47.556,                 4.1733,              0.0031968,              0.0031968,              0.0031968
