                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.6103,                 23.188,                 4.2417,                      0,                      0,                      0,                      0,                 6.8432,                 41.906,                 4.1604,                 0.0002,                 0.0002,                 0.0002
                      2,                 6.5686,                 24.724,                 4.2342,                      0,                      0,                      0,                      0,                 6.8435,                 41.928,                 4.1629,             0.00049995,             0.00049995,             0.00049995
                      3,                 6.6643,                 25.568,                 4.2949,                      0,                      0,                      0,                      0,                 6.8438,                 41.996,                 4.1651,             0.00079984,             0.00079984,             0.00079984
                      4,                 6.5826,                 22.911,                 4.2958,                      0,                      0,                      0,                      0,                 6.8443,                 42.114,                 4.1664,              0.0010997,              0.0010997,              0.0010997
                      5,                 6.4386,                  20.96,                 4.3197,                      0,                      0,                      0,                      0,                 6.8442,                 42.231,                 4.1687,              0.0013994,              0.0013994,              0.0013994
                      6,                 6.5443,                 28.438,                 4.2254,                      0,                      0,                      0,                      0,                 6.8446,                 42.495,                 4.1703,              0.0016992,              0.0016992,              0.0016992
                      7,                 6.5616,                 25.349,                   4.25,                      0,                      0,                      0,                      0,                 6.8442,                 42.744,                 4.1717,              0.0019988,              0.0019988,              0.0019988
                      8,                 6.4843,                 17.156,                 4.1039,                      0,                      0,                      0,                      0,                 6.8433,                 43.009,                 4.1734,              0.0022984,              0.0022984,              0.0022984
                      9,                 6.0079,                 15.578,                   3.96,                      0,                      0,                      0,                      0,                 6.8432,                 43.641,                 4.1776,              0.0025979,              0.0025979,              0.0025979
                     10,                 5.3238,                 12.283,                 3.8837,                      0,                      0,                      0,                      0,                 6.8444,                  44.46,                  4.185,              0.0028974,              0.0028974,              0.0028974
                     11,                 4.3644,                 7.6035,                 3.2986,                      0,                      0,                      0,                      0,                 6.8454,                 45.504,                 4.1955,              0.0031968,              0.0031968,              0.0031968
                     12,                 3.2729,                 5.1274,                 2.6171,                      0,                      0,                      0,                      0,                 6.8456,                 44.621,                 4.2056,              0.0034962,              0.0034962,              0.0034962
                     13,                 2.9885,                 4.1166,                 2.2396,                      0,                      0,                      0,                      0,                 6.8468,                 42.598,                 4.2188,              0.0037955,              0.0037955,              0.0037955
                     14,                 2.7173,                 3.5662,                 1.9574,                      0,                      0,                      0,                      0,                 6.8487,                 43.446,                 4.2324,              0.0040947,              0.0040947,              0.0040947
                     15,                 2.6848,                 3.4426,                 1.8917,                      0,                      0,                      0,                      0,                 6.8495,                 44.412,                 4.2453,              0.0043939,              0.0043939,              0.0043939
                     16,                 2.5704,                 3.2883,                 1.7087,                      0,                      0,                      0,                      0,                 6.8511,                 45.817,                  4.259,               0.004693,               0.004693,               0.004693
                     17,                 2.4646,                 3.1066,                 1.4952,                      0,                      0,                      0,                      0,                 6.8537,                 47.337,                 4.2718,              0.0049921,              0.0049921,              0.0049921
                     18,                 2.2784,                 2.9489,                 1.4474,                      0,                      0,                      0,                      0,                 6.8544,                 48.682,                 4.2843,              0.0052911,              0.0052911,              0.0052911
                     19,                 2.3156,                 2.8538,                  1.354,                      0,                      0,                      0,                      0,                  6.857,                  50.52,                 4.2999,                0.00559,                0.00559,                0.00559
                     20,                 2.3235,                 2.7747,                 1.3501,                      0,                      0,                      0,                      0,                 6.8588,                 52.375,                 4.3169,              0.0058889,              0.0058889,              0.0058889
                     21,                 2.1975,                 2.6707,                 1.2906,                      0,                      0,                      0,                      0,                 6.8613,                 54.414,                 4.3313,              0.0061877,              0.0061877,              0.0061877
                     22,                 2.1754,                 2.5736,                  1.256,                      0,                      0,                      0,                      0,                 6.8615,                 55.375,                 4.3366,              0.0064865,              0.0064865,              0.0064865
                     23,                 2.0495,                 2.5214,                 1.2362,                      0,                      0,                      0,                      0,                 6.8633,                 57.209,                 4.3464,              0.0067852,              0.0067852,              0.0067852
                     24,                 2.0711,                 2.4916,                  1.151,                      0,                      0,                      0,                      0,                 6.8648,                 59.306,                  4.363,              0.0070838,              0.0070838,              0.0070838
                     25,                 1.9188,                 2.4186,                 1.1808,                      0,                      0,                      0,                      0,                 6.8643,                 56.633,                 4.3594,              0.0073824,              0.0073824,              0.0073824
                     26,                 2.0288,                 2.4495,                 1.1411,                      0,                      0,                      0,                      0,                 6.8655,                  56.39,                 4.3739,              0.0076809,              0.0076809,              0.0076809
                     27,                 1.9354,                 2.4756,                 1.1391,                      0,                      0,                      0,                      0,                 6.8676,                 57.736,                   4.39,              0.0079794,              0.0079794,              0.0079794
                     28,                 1.9751,                 2.4044,                 1.1282,                      0,                      0,                      0,                      0,                 6.8666,                 57.751,                 4.3861,              0.0082778,              0.0082778,              0.0082778
                     29,                 1.7995,                 2.5294,                 1.1202,                      0,                      0,                      0,                      0,                 6.8667,                 58.926,                 4.3894,              0.0085762,              0.0085762,              0.0085762
                     30,                  1.797,                 2.4192,                 1.0884,                      0,                      0,                      0,                      0,                 6.8662,                  59.41,                 4.3898,              0.0088744,              0.0088744,              0.0088744
                     31,                  1.955,                 2.3075,                 1.1361,                      0,                      0,                      0,                      0,                 6.8575,                  51.06,                 4.2967,              0.0091727,              0.0091727,              0.0091727
                     32,                 1.8035,                 2.3077,                 1.0859,                      0,                      0,                      0,                      0,                 6.6863,                     26,                 3.6547,              0.0094708,              0.0094708,              0.0094708
                     33,                 1.9619,                 2.2778,                 1.0852,                0.00104,                0.03439,                0.00124,                 0.0006,                 4.6443,                 8.0043,                 2.3725,               0.009769,               0.009769,               0.009769
                     34,                 1.8406,                 2.2336,                 1.0559,                0.00053,                0.01786,                0.00056,                0.00018,                  4.971,                 8.3288,                 2.5866,              0.0099673,              0.0099673,              0.0099673
                     35,                 1.7457,                 2.2463,                 1.0601,                0.00273,                0.09381,                0.00477,                0.00235,                 3.4653,                 5.3392,                 2.0403,              0.0099663,              0.0099663,              0.0099663
                     36,                 1.7894,                 2.2043,                  1.046,                0.00287,                0.09707,                0.00573,                0.00278,                 3.3201,                 4.3445,                 1.8091,              0.0099654,              0.0099654,              0.0099654
                     37,                 1.6146,                 2.1603,                 1.0136,                0.11782,                0.27176,                0.08547,                0.02966,                 2.2551,                 2.8194,                 1.3136,              0.0099644,              0.0099644,              0.0099644
                     38,                 1.7287,                 2.1758,                 1.0175,                0.09855,                0.18736,                0.06984,                0.03006,                 2.0465,                 2.5855,                 1.2271,              0.0099634,              0.0099634,              0.0099634
                     39,                 1.6357,                 2.1567,                   1.01,                 0.1025,                0.22543,                0.08703,                0.03695,                 1.9507,                 2.5146,                 1.1834,              0.0099624,              0.0099624,              0.0099624
                     40,                 1.6387,                 2.0548,                 1.0199,                0.13855,                0.45545,                0.13126,                0.07109,                 1.6343,                 2.3265,                 1.0229,              0.0099614,              0.0099614,              0.0099614
                     41,                 1.5646,                 2.0253,                 0.9907,                0.12592,                0.54618,                0.12947,                0.06451,                 1.6747,                 2.4046,                 1.0369,              0.0099604,              0.0099604,              0.0099604
                     42,                 1.6756,                 2.0719,                 1.0076,                0.14754,                0.56163,                0.15447,                0.08189,                 1.5447,                 2.0942,                0.97804,              0.0099594,              0.0099594,              0.0099594
                     43,                 1.5649,                 2.0835,                 1.0035,                0.15385,                0.58966,                0.15603,                0.07797,                 1.7628,                 2.3981,                 1.0377,              0.0099584,              0.0099584,              0.0099584
